지역구분,지역구분_시,지역구분_도심/도심외,지역구분_읍/면/동,관광업종 구분,회원 유형,2014-09~2015-08 카드이용금액,2014-09 ~ 2015-08 카드이용건수,2014-09~2015-08 카드이용자수,2015-09~2016-08 카드이용금액,2015-09~2016-08 카드이용건수,2015-09~2016-08 카드이용자수
제주도,전체,전체,전체,교통,중국인,175212447,1164,897,131525772,2094,1572
제주도,전체,전체,전체,문화/레져,중국인,51496030372,105713,95402,41562125907,122436,105305
제주도,전체,전체,전체,소매,중국인,2.03E+11,963687,513522,2.56E+11,1388534,693308
제주도,전체,전체,전체,쇼핑,중국인,3.26E+11,1320988,486040,4.22E+11,2709153,842443
제주도,전체,전체,전체,숙박,중국인,43399696873,21708,16699,38178142342,30450,23311
제주도,전체,전체,전체,식음료,중국인,4386759545,85031,63856,7013178601,148198,106151
제주도,전체,전체,전체,유흥,중국인,90517370,581,521,125089905,1096,973
제주도,서귀포시,도심,전체,교통,중국인,82590588,188,162,31604753,261,219
제주도,서귀포시,도심,전체,문화/레져,중국인,3907141300,57656,54378,4369664970,70244,64457
제주도,서귀포시,도심,전체,소매,중국인,2907385185,23673,17050,2671159939,21889,15506
제주도,서귀포시,도심,전체,쇼핑,중국인,1.23E+11,648267,227104,3118392860,48952,31225
제주도,서귀포시,도심,전체,숙박,중국인,22420424809,10725,8314,23161908403,12347,9077
제주도,서귀포시,도심,전체,식음료,중국인,672719121,10007,7816,810946675,12952,10306
제주도,서귀포시,도심,전체,유흥,중국인,3141460,45,41,6953300,89,78
제주도,제주시,도심,전체,교통,중국인,80705016,381,279,73008656,586,383
제주도,제주시,도심,전체,문화/레져,중국인,401872440,9015,8217,484829910,13292,12022
제주도,제주시,도심,전체,소매,중국인,1.57E+11,750879,405643,2.17E+11,1175718,593206
제주도,제주시,도심,전체,쇼핑,중국인,1.54E+11,629464,311053,4.06E+11,2611166,816571
제주도,제주시,도심,전체,숙박,중국인,18141908477,10125,8501,14644620669,16302,13772
제주도,제주시,도심,전체,식음료,중국인,3091842035,62704,50124,5180502968,113669,86526
제주도,제주시,도심,전체,유흥,중국인,86472410,514,459,114920100,936,831
제주도,제주시,도심,건입동,소매,중국인,592256060,1954,1794,8011659585,23362,21194
제주도,제주시,도심,건입동,쇼핑,중국인,46582090,1332,1096,145881300,5174,3966
제주도,제주시,도심,건입동,식음료,중국인,62883600,471,435,62829600,1036,870
제주도,제주시,도심 외,구좌읍,문화/레져,중국인,5815800,172,158,6634000,180,161
제주도,제주시,도심 외,구좌읍,소매,중국인,1537900,27,24,8177200,73,63
제주도,제주시,도심 외,구좌읍,쇼핑,중국인,1513780,71,46,4036800,208,156
제주도,제주시,도심 외,구좌읍,숙박,중국인,3672800,20,17,4535400,31,25
제주도,제주시,도심 외,구좌읍,식음료,중국인,2911850,81,70,9878500,275,232
제주도,서귀포시,도심 외,남원읍,문화/레져,중국인,4128610,39,28,8903167,49,38
제주도,서귀포시,도심 외,남원읍,소매,중국인,1344000,21,18,3971900,51,47
제주도,서귀포시,도심 외,남원읍,쇼핑,중국인,1345680,30,22,1501990,55,40
제주도,서귀포시,도심 외,남원읍,숙박,중국인,3793350,18,18,1901000,13,13
제주도,서귀포시,도심 외,남원읍,식음료,중국인,836600,43,34,2195200,54,43
제주도,제주시,도심,노형동,교통,중국인,33607612,71,48,8547265,161,80
제주도,제주시,도심,노형동,문화/레져,중국인,657900,27,25,4490400,56,42
제주도,제주시,도심,노형동,소매,중국인,10884166064,38470,33637,12219999821,45198,40698
제주도,제주시,도심,노형동,쇼핑,중국인,13192784013,73608,49612,19177716897,108533,73161
제주도,제주시,도심,노형동,숙박,중국인,12583650548,376,292,9786477070,1285,1048
제주도,제주시,도심,노형동,식음료,중국인,362186820,4006,3375,642555260,7913,6525
제주도,제주시,도심,노형동,유흥,중국인,10677500,34,33,7956500,199,193
제주도,서귀포시,도심,대륜동,문화/레져,중국인,5144000,22,22,6135500,31,26
제주도,서귀포시,도심,대륜동,소매,중국인,135594000,1946,1873,84268900,1216,1185
제주도,서귀포시,도심,대륜동,쇼핑,중국인,899573970,9182,7089,1044768940,11713,9139
제주도,서귀포시,도심,대륜동,숙박,중국인,14860577318,301,226,7999232692,299,205
제주도,서귀포시,도심,대륜동,식음료,중국인,2366100,81,70,5794900,203,165
제주도,서귀포시,도심 외,대정읍,소매,중국인,2404300,71,67,2664800,48,40
제주도,서귀포시,도심 외,대정읍,쇼핑,중국인,1038960,94,77,6966040,434,312
제주도,서귀포시,도심 외,대정읍,식음료,중국인,5253500,178,159,7902160,173,111
제주도,서귀포시,도심,대천동,소매,중국인,6730000,27,27,9171400,278,237
제주도,서귀포시,도심,대천동,쇼핑,중국인,6078470,510,406,7453290,757,585
제주도,서귀포시,도심,대천동,숙박,중국인,20055821,69,61,39474035,113,97
제주도,서귀포시,도심,대천동,식음료,중국인,5173060,108,98,17668600,324,275
제주도,서귀포시,도심,대천동,유흥,중국인,964500,19,16,1283900,28,28
제주도,제주시,도심,도두동,소매,중국인,2567298880,18240,17188,10117127803,65471,61328
제주도,제주시,도심,도두동,쇼핑,중국인,15244040,1353,1195,31318880,2502,2015
제주도,제주시,도심,도두동,숙박,중국인,2060000,19,14,8608500,60,51
제주도,제주시,도심,도두동,식음료,중국인,24851200,142,127,58092200,697,620
제주도,서귀포시,도심,동홍동,소매,중국인,5481050,22,21,13919550,43,33
제주도,서귀포시,도심,동홍동,쇼핑,중국인,102501105,1119,632,155336830,1728,689
제주도,서귀포시,도심,동홍동,식음료,중국인,2632200,44,43,5242600,102,74
제주도,제주시,도심,봉개동,쇼핑,중국인,2975850,219,192,2760920,177,148
제주도,제주시,도심,삼도1동,소매,중국인,92529410,594,505,99981660,774,664
